Species,Authority,Family,Seed bank type,Number of records,Max longevity (y),Minimum density per sq m,Maximum density per sq m,Mean density per sq m,Depth (cm),Method,Source code
Acer campestre,L.,ACERACEAE,1,1,,0,0,0,10,5,255
Acer campestre,L.,ACERACEAE,1,1,,0,0,0,15,5,257
Acer campestre,L.,ACERACEAE,1,2,,0,0,0,6.5,7,182
Acer platanoides,L.,ACERACEAE,1,1,,0,0,0,4,5,176
Acer platanoides,L.,ACERACEAE,4,1,,1,1,1,4,5,176
Acer pseudoplatanus,L.,ACERACEAE,1,2,,0,0,0,20,5,67
Acer pseudoplatanus,L.,ACERACEAE,1,1,,0,0,0,1,5,96
Acer pseudoplatanus,L.,ACERACEAE,1,4,,0,0,0,3,5,96
Acer pseudoplatanus,L.,ACERACEAE,1,6,,0,0,0,3,5,208
Acer pseudoplatanus,L.,ACERACEAE,1,3,,0,0,0,10,5,255
Acer pseudoplatanus,L.,ACERACEAE,1,1,,0,0,0,15,5,257
Acer pseudoplatanus,L.,ACERACEAE,1,1,,0,0,0,3,7,235
Adoxa moschatellina,L.,ADOXACEAE,1,1,,0,0,0,20,5,67
Adoxa moschatellina,L.,ADOXACEAE,1,2,,0,0,0,4,5,176
Adoxa moschatellina,L.,ADOXACEAE,1,1,,0,0,0,15,5,257
Alisma plantago-aquatica,L.,ALISMATACEAE,2,3,,80,220,173,6.5,5,128
Alisma plantago-aquatica,L.,ALISMATACEAE,2,1,,36,36,36,16,5,216
Alisma plantago-aquatica,L.,ALISMATACEAE,2,1,,42021,42021,42021,50,5,216
Alisma plantago-aquatica,L.,ALISMATACEAE,2,1,,84,84,84,3,7,235
Alisma plantago-aquatica,L.,ALISMATACEAE,3,6,,185,4893,1586,35,5,247
Alisma plantago-aquatica,L.,ALISMATACEAE,4,1,,67,67,67,3,5,96
Alisma plantago-aquatica,L.,ALISMATACEAE,4,2,,180,1380,780,6.5,5,128
Alisma plantago-aquatica,L.,ALISMATACEAE,4,3,,780,6757,3379,50,5,216
Amaranthus albus,L.,AMARANTHACEAE,4,2,,104,378,241,7.5,5,10
Amaranthus hybridus,L.,AMARANTHACEAE,1,1,,0,0,0,10,4,22
Amaranthus hybridus,L.,AMARANTHACEAE,1,1,,0,0,0,5,5,189
Amaranthus hybridus,L.,AMARANTHACEAE,2,2,,50,90,70,10,4,22
Amaranthus hybridus,L.,AMARANTHACEAE,4,1,,6,6,6,5,5,189
Amaranthus retroflexus,L.,AMARANTHACEAE,1,1,,43,43,43,15,5,175
Amaranthus retroflexus,L.,AMARANTHACEAE,2,3,>3,-,-,-,7,2,44
Amaranthus retroflexus,L.,AMARANTHACEAE,2,1,,37,37,37,7.5,5,10
Amaranthus retroflexus,L.,AMARANTHACEAE,2,1,,172,172,172,15,5,175
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,>10,-,-,-,23,1,38
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,>5,-,-,-,23,1,64
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,10,-,-,-,15,1,240
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,10,-,-,-,50,1,240
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,10,-,-,-,100,1,240
Amaranthus retroflexus,L.,AMARANTHACEAE,3,3,>5,-,-,-,7,2,44
Amaranthus retroflexus,L.,AMARANTHACEAE,3,3,>6,-,-,-,7,2,44
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,>5,-,-,-,7.5,2,196
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,>5,-,-,-,30,3,14
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,40,-,-,-,,3,124
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,,1075,1075,1075,30,4,12
Amaranthus retroflexus,L.,AMARANTHACEAE,3,1,,301,301,301,15,5,175
Amaranthus retroflexus,L.,AMARANTHACEAE,4,18,,20,82470,5541,30,4,13
Amaranthus retroflexus,L.,AMARANTHACEAE,4,1,,8,8,8,10,5,8
Amaranthus retroflexus,L.,AMARANTHACEAE,4,5,,30,3435,863,7.5,5,10
Amaranthus retroflexus,L.,AMARANTHACEAE,4,1,,420,420,420,10,5,15
Ilex aquifolium,L.,AQUIFOLIACEAE,1,13,,0,0,0,15,5,257
Acorus calamus,L.,ARACEAE,1,3,,0,0,0,10,5,131
Acorus calamus,L.,ARACEAE,1,3,,0,0,0,32,5,131
Arum maculatum,L.,ARACEAE,1,2,,0,0,0,6,5,49
Arum maculatum,L.,ARACEAE,1,2,,0,0,0,20,5,67
Arum maculatum,L.,ARACEAE,1,3,,0,0,0,15,5,257
Hedera helix,L.,ARALIACEAE,1,1,,0,0,0,20,4,225
Hedera helix,L.,ARALIACEAE,1,6,,0,0,0,3,5,96
Hedera helix,L.,ARALIACEAE,1,1,,0,0,0,10,5,126
Hedera helix,L.,ARALIACEAE,1,20,,0,0,0,15,5,257
Hedera helix,L.,ARALIACEAE,1,3,,0,0,0,3,7,235
Asarum europaeum,L.,ARISTOLOCHIACEAE,1,1,,0,0,0,20,5,67
Asarum europaeum,L.,ARISTOLOCHIACEAE,1,2,,0,0,0,12,5,171
Asarum europaeum,L.,ARISTOLOCHIACEAE,1,2,,0,0,0,5,6,170
Vincetoxicum hirundinaria,Medicus,ASCLEPIADACEAE,1,1,,0,0,0,6,5,49
Vincetoxicum hirundinaria,Medicus,ASCLEPIADACEAE,1,1,,0,0,0,6,5,181
Impatiens capensis,Meerb.,BALSAMINACEAE,1,3,,0,0,0,5,4,215
Impatiens capensis,Meerb.,BALSAMINACEAE,1,3,,0,0,0,5,5,19
Impatiens capensis,Meerb.,BALSAMINACEAE,1,1,,0,0,0,10,5,131
Impatiens capensis,Meerb.,BALSAMINACEAE,1,1,,830,830,830,32,5,131
Impatiens capensis,Meerb.,BALSAMINACEAE,2,1,,530,530,530,32,5,131
Impatiens capensis,Meerb.,BALSAMINACEAE,4,1,,100,100,100,5,4,215
Impatiens glandulifera,Royle,BALSAMINACEAE,1,1,,0,0,0,3,5,96
Impatiens noli-tangere,L.,BALSAMINACEAE,1,1,,0,0,0,20,4,225
Impatiens noli-tangere,L.,BALSAMINACEAE,1,1,,0,0,0,5,5,213
Impatiens noli-tangere,L.,BALSAMINACEAE,4,2,,1,12,7,4,5,176
Impatiens parviflora,DC.,BALSAMINACEAE,1,1,,0,0,0,20,4,225
Impatiens parviflora,DC.,BALSAMINACEAE,1,2,,0,0,0,20,5,67
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,1,,0,0,0,20,4,225
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,1,,0,0,0,1,5,96
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,1,,171,171,171,50,5,107
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,1,,228,228,228,25,5,107
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,3,,0,0,0,3,5,208
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,1,,0,0,0,5,5,248
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,3,,0,0,0,10,5,255
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,2,,26,39,33,2,7,99
Alnus glutinosa,(L.) Gaertner,BETULACEAE,1,1,,53,53,53,8,7,275
Alnus glutinosa,(L.) Gaertner,BETULACEAE,2,2,,1200,2000,1600,20,4,225
Alnus glutinosa,(L.) Gaertner,BETULACEAE,2,1,,67,67,67,3,5,96
Alnus glutinosa,(L.) Gaertner,BETULACEAE,2,1,,85,85,85,3,5,208
Alnus glutinosa,(L.) Gaertner,BETULACEAE,2,1,,6,6,6,3,7,235
Alnus glutinosa,(L.) Gaertner,BETULACEAE,3,1,,198,198,198,3,5,208
Alnus glutinosa,(L.) Gaertner,BETULACEAE,4,1,,1200,1200,1200,20,4,225
Alnus glutinosa,(L.) Gaertner,BETULACEAE,4,3,,50,183,111,3,5,96
Alnus glutinosa,(L.) Gaertner,BETULACEAE,4,1,,509,509,509,3,5,208
Alnus incana,(L.) Moench,BETULACEAE,3,1,>5,-,-,-,2,3,83
Betula nana,L.,BETULACEAE,1,2,,0,0,0,10,5,63
Betula pendula,Roth,BETULACEAE,1,1,,64,64,64,9.5,5,84
Betula pendula,Roth,BETULACEAE,1,1,,298,298,298,10,5,84
Betula pendula,Roth,BETULACEAE,1,2,,0,0,0,10,5,255
Betula pendula,Roth,BETULACEAE,2,2,>3,-,-,-,0,3,85
Betula pendula,Roth,BETULACEAE,2,1,2,-,-,-,0,3,85
Betula pendula,Roth,BETULACEAE,2,2,,6000,12800,9400,20,4,225
Betula pendula,Roth,BETULACEAE,2,5,,50,183,93,3,5,96
Betula pendula,Roth,BETULACEAE,2,3,,38,75,54,10,5,255
Betula pendula,Roth,BETULACEAE,2,6,,300,3780,1707,15,5,257
Betula pendula,Roth,BETULACEAE,2,1,,5,5,5,3,7,235
Betula pendula,Roth,BETULACEAE,3,1,>5,-,-,-,2,3,83
Betula pendula,Roth,BETULACEAE,3,10,,88,789,213,10,5,150
Betula pendula,Roth,BETULACEAE,3,2,,320,500,410,15,5,257
Betula pendula,Roth,BETULACEAE,4,1,,35,35,35,20,4,111
Betula pendula,Roth,BETULACEAE,4,3,,224,412,297,5,5,92
Betula pendula,Roth,BETULACEAE,4,4,,38,63,54,10,5,255
Betula pubescens,Ehrh.,BETULACEAE,1,1,0,-,-,-,10,3,216
Betula pubescens,Ehrh.,BETULACEAE,1,1,,56,56,56,16,4,51
Betula pubescens,Ehrh.,BETULACEAE,1,1,,424,424,424,10,4,51
Betula pubescens,Ehrh.,BETULACEAE,1,2,,156,156,156,6,5,11
Betula pubescens,Ehrh.,BETULACEAE,1,1,,53,53,53,7.5,5,84
Betula pubescens,Ehrh.,BETULACEAE,1,1,,138,138,138,9.5,5,84
Betula pubescens,Ehrh.,BETULACEAE,1,1,,617,617,617,10,5,84
Betula pubescens,Ehrh.,BETULACEAE,1,4,,0,0,0,6,5,99
Betula pubescens,Ehrh.,BETULACEAE,1,1,,33,33,33,24,5,169
Betula pubescens,Ehrh.,BETULACEAE,1,2,,33,44,39,32,5,169
Betula pubescens,Ehrh.,BETULACEAE,1,3,,0,0,0,5,5,222
Betula pubescens,Ehrh.,BETULACEAE,1,5,,26,117,69,2,7,99
Betula pubescens,Ehrh.,BETULACEAE,1,2,,4,12,8,3,7,235
Betula pubescens,Ehrh.,BETULACEAE,1,3,,53,210,105,8,7,275
Betula pubescens,Ehrh.,BETULACEAE,2,2,>3,-,-,-,0,3,85
Betula pubescens,Ehrh.,BETULACEAE,2,1,2,-,-,-,0,3,85
Betula pubescens,Ehrh.,BETULACEAE,2,2,,208,208,208,6,5,11
Betula pubescens,Ehrh.,BETULACEAE,2,1,,26,26,26,5,5,82
Betula pubescens,Ehrh.,BETULACEAE,2,1,,51,51,51,3,5,82
Betula pubescens,Ehrh.,BETULACEAE,2,1,,423,423,423,10,5,93
Betula pubescens,Ehrh.,BETULACEAE,2,3,,83,133,100,3,5,96
Betula pubescens,Ehrh.,BETULACEAE,2,1,,208,208,208,6,5,99
Betula pubescens,Ehrh.,BETULACEAE,2,1,,2166,2166,2166,25,5,107
Betula pubescens,Ehrh.,BETULACEAE,2,1,,67,67,67,24,5,168
Betula pubescens,Ehrh.,BETULACEAE,2,1,,156,156,156,16,5,168
Betula pubescens,Ehrh.,BETULACEAE,2,2,,230,230,230,30,5,180
Betula pubescens,Ehrh.,BETULACEAE,2,1,,5,5,5,3,7,235
Betula pubescens,Ehrh.,BETULACEAE,3,2,>4,-,-,-,10,3,216
Betula pubescens,Ehrh.,BETULACEAE,3,1,,228,228,228,30,5,107
Betula pubescens,Ehrh.,BETULACEAE,3,2,,110,430,270,30,5,180
Betula pubescens,Ehrh.,BETULACEAE,4,4,,341,1810,1177,5,5,92
Betula pubescens,Ehrh.,BETULACEAE,4,1,,50,50,50,3,5,96
Betula pubescens,Ehrh.,BETULACEAE,4,1,,780,780,780,6,5,99
Betula pubescens,Ehrh.,BETULACEAE,4,1,,551,551,551,5,5,222
Anchusa arvensis,(L.) M. Bieb.,BORAGINACEAE,1,1,,0,0,0,25,5,2
Anchusa arvensis,(L.) M. Bieb.,BORAGINACEAE,1,1,,0,0,0,3,5,96
Anchusa arvensis,(L.) M. Bieb.,BORAGINACEAE,1,1,,0,0,0,10,5,255
Anchusa arvensis,(L.) M. Bieb.,BORAGINACEAE,2,1,>2,-,-,-,2,3,245
Anchusa arvensis,(L.) M. Bieb.,BORAGINACEAE,2,1,>2,-,-,-,15,3,245
Anchusa arvensis,(L.) M. Bieb.,BORAGINACEAE,2,1,,112,112,112,12,5,162
Anchusa officinalis,L.,BORAGINACEAE,2,1,,188,188,188,17,5,162
Anchusa officinalis,L.,BORAGINACEAE,2,1,,3070,3070,3070,22,5,162
Borago officinalis,L.,BORAGINACEAE,1,1,,0,0,0,10,4,22
Borago officinalis,L.,BORAGINACEAE,1,2,,0,0,0,10,5,184
Cynoglossum officinale,L.,BORAGINACEAE,1,1,0,-,-,-,2,3,245
Cynoglossum officinale,L.,BORAGINACEAE,1,1,0,-,-,-,15,3,245
Cynoglossum officinale,L.,BORAGINACEAE,1,2,,0,0,0,10,5,184
Cynoglossum officinale,L.,BORAGINACEAE,3,1,>5,-,-,-,7.5,2,198
Echium vulgare,L.,BORAGINACEAE,1,3,,0,0,0,3,5,132
Echium vulgare,L.,BORAGINACEAE,2,1,>2,-,-,-,2,3,245
Echium vulgare,L.,BORAGINACEAE,2,1,>2,-,-,-,15,3,245
Echium vulgare,L.,BORAGINACEAE,2,1,,6,6,6,6,5,211
Heliotropium europaeum,L.,BORAGINACEAE,1,2,,0,0,0,3,5,132
Heliotropium europaeum,L.,BORAGINACEAE,2,1,,538,538,538,3,5,132
Heliotropium europaeum,L.,BORAGINACEAE,4,1,,113,113,113,30,4,13
Lithospermum arvense,L.,BORAGINACEAE,1,1,,0,0,0,25,4,36
Lithospermum arvense,L.,BORAGINACEAE,2,1,3,-,-,-,25,3,209
Myosotis alpestris,F.W. Schmidt,BORAGINACEAE,1,1,,0,0,0,6,5,39
Myosotis alpestris,F.W. Schmidt,BORAGINACEAE,4,2,,13,30,22,6,5,39
Myosotis arvensis,(L.) Hill,BORAGINACEAE,1,3,,0,0,0,25,4,36
Myosotis arvensis,(L.) Hill,BORAGINACEAE,1,1,,0,0,0,20,4,225
Myosotis arvensis,(L.) Hill,BORAGINACEAE,1,1,,368,368,368,8,7,275
Myosotis arvensis,(L.) Hill,BORAGINACEAE,2,1,>3,-,-,-,20,3,268
Myosotis arvensis,(L.) Hill,BORAGINACEAE,2,1,,80,80,80,25,4,36
Myosotis arvensis,(L.) Hill,BORAGINACEAE,2,5,,67,150,103,3,5,96
Myosotis arvensis,(L.) Hill,BORAGINACEAE,2,1,,608,608,608,38,5,186
Myosotis arvensis,(L.) Hill,BORAGINACEAE,2,5,,63,200,150,10,5,255
Myosotis arvensis,(L.) Hill,BORAGINACEAE,3,1,>11,-,-,-,25,3,209
Myosotis arvensis,(L.) Hill,BORAGINACEAE,3,1,,194,194,194,30,5,29
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,2,,580,2350,1465,25,4,3
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,12,,20,2138,565,30,4,13
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,6,,9,850,325,15,4,30
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,1,,108,108,108,15,4,31
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,6,,8,76,25,25,4,36
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,1,,339,339,339,20,4,111
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,1,,1852,1852,1852,25,5,2
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,3,,100,267,183,3,5,96
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,1,,9,9,9,10,5,110
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,1,,975,975,975,20,5,118
Myosotis arvensis,(L.) Hill,BORAGINACEAE,4,16,,63,1313,649,10,5,255
Myosotis laxa,Lehm.,BORAGINACEAE,1,2,,0,0,0,10,5,27
Myosotis laxa,Lehm.,BORAGINACEAE,1,1,,0,0,0,20,5,67
Myosotis laxa,Lehm.,BORAGINACEAE,1,1,,0,0,0,3,5,96
